TAC_1	TAC_2	TAC_3	TAC_4	TAC_5
0.000000	0.000000	0.000000	0.000000	0.000000
0.001185	0.000000	0.000000	0.000000	0.000000
0.085142	0.034085	0.072537	0.570292	0.131993
0.451164	0.364663	0.446915	0.086244	0.951269
0.975851	0.971123	1.095352	0.912906	1.011611
1.685322	1.363332	1.873662	1.164550	1.579711
2.987893	2.847615	3.193273	2.082014	2.089169
5.022377	4.153193	5.216736	3.471204	3.284010
6.245737	4.660837	7.331855	5.738533	6.057460
11.791282	8.171700	13.507707	8.773621	9.029551
14.490251	8.534198	16.519035	11.334113	11.088599
15.522421	7.844106	17.913492	12.729042	12.667809
16.407890	7.144447	19.001419	13.095960	12.994439
17.423725	6.381504	20.230627	14.307092	13.000944
18.390726	5.609608	21.680591	15.617464	14.039074
18.963499	4.695478	22.117482	16.452734	15.261233
18.933527	3.794294	22.190110	16.544885	15.333984
17.841134	3.310802	21.001384	16.404127	15.012658
16.046307	2.706507	18.820598	15.535440	14.306462
14.216560	2.378532	16.850666	13.855449	13.510902
12.438731	1.955881	14.866485	13.437055	12.406726



